source_ref	source_path	source_blob	target_ref	target_path	target_blob	disposition	validation_evidence
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/GemcitabineExposure_PKPD.xlsx	4ae2eb7c98218c7db43fad9d0817c237c5ff7487	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/in-vitro/pkpd_live_dead_model/raw/drugKinetics/GemcitabineExposure_PKPD.xlsx	4ae2eb7c98218c7db43fad9d0817c237c5ff7487	identical	Blob-identical PKPD workbook in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/README.md	28a363a3e2e000765756ebc4a90de83fc4e222f0			retired	Legacy local PK/PD note was not consumed by miningcloneid code outside the removed folder and has no confirmed target equivalent.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_2N-1.txt	e0972f387f1365d48696e57357c4ab2e981a6a90	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_2N-1.txt	e0972f387f1365d48696e57357c4ab2e981a6a90	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_2N-2.txt	642a0ba57937ef5ff82cea52621c36e973febb1a	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_2N-2.txt	642a0ba57937ef5ff82cea52621c36e973febb1a	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_2N-3.txt	abbf28e0be7610bf1928669d24795eaf760b7594	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_2N-3.txt	abbf28e0be7610bf1928669d24795eaf760b7594	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_4N-1.txt	5cb3ef3f4d9e8e4dbc402d2c7bc43e4174fc8620	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_4N-1.txt	5cb3ef3f4d9e8e4dbc402d2c7bc43e4174fc8620	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_4N-2.txt	dff01dd08ffacefec868374e48c24ed3648a05a5	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_4N-2.txt	dff01dd08ffacefec868374e48c24ed3648a05a5	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/drugKinetics/nM1000_4N-3.txt	037f0a5cbab98f332538d36f34b9e917f863078d	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/M00_GemcitabinePKPD_101823/nM1000_4N-3.txt	037f0a5cbab98f332538d36f34b9e917f863078d	identical	Blob-identical raw PK text file in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/plotTimSeries.R	f8b6487679965df064f09da48b29c55fbc6c2ed2	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/GemDelayKillTerm/plotTimSeries.R	b7f6f99a5a3e3680eeec191c9afdd18afc1f5d09	migrated-with-diff	Target script is retargeted to Gemcitabine-model data layout.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/processed/counts_by_well_time.parquet	7f651dbd86715012bd9b4a5b7ce644f63995b944	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/GemDelayKillTerm/processed/counts_by_well_time.parquet	7f651dbd86715012bd9b4a5b7ce644f63995b944	identical	Blob-identical processed count parquet in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	data/InVitroData_Gemcitabine/processed/counts_by_well_time_wellAggregated.parquet	682415caef1f30fc1dac3169ec30e81b0ca658a7	d8e85a7407378e07ad929b5e0009c6e7644d9256	Data/GemDelayKillTerm/processed/counts_by_well_time_wellAggregated.parquet	682415caef1f30fc1dac3169ec30e81b0ca658a7	identical	Blob-identical processed aggregate count parquet in Gemcitabine-model.
3af99d2c28c9274658db44c8df473fe9f4458b0a	oxygen/tests/test_invitro_fitting_extracellular_decay.py	9060f56a70677de85cab51ee3e98c132337bf3bf			retired	This test directly imported the removed miningcloneid code/invitro_fitting.py module; Gemcitabine-model has workflow smoke tests but no one-for-one migrated unit test was confirmed.
